Hours passed since storm (Hours),Number of Sad People (people)
74.72,106416
74.9,106407
75.2,105956
75.38,104391
75.72,102837
75.9,100631
76.2,96668
76.38,94111
76.7,93224
76.87,92697
77.22,94043
77.52,93887
77.72,95682
78.03,94903
79.0,84994
79.73,84360
79.88,83977
80.03,80733
80.37,77868
80.7,73781
80.88,71562
81.2,70041
81.37,70934
81.7,69696
81.88,69534
82.22,68139
82.37,67903
82.72,67555
83.07,66520
83.38,66074
83.68,64673
83.87,63848
84.37,60807
84.72,59996
84.88,59916
85.22,58968
85.38,58522
85.72,59052
85.88,57732
86.22,58054
86.38,59230
86.88,56383
87.22,56495
87.38,55410
87.53,54984
87.88,55103
88.22,54177
88.37,53914
88.72,53179
88.88,52962
89.22,55438
89.4,53519
89.73,51589
89.88,51004
90.22,50363
90.4,52253
90.73,52596
90.9,52820
91.22,52970
91.38,53049
91.72,53005
91.9,53125
92.22,56051
92.4,54257
92.73,51823
92.9,51613
93.22,51406
93.38,51459
93.72,51050
93.88,50692
94.2,50184
94.38,50235
94.72,49778
94.88,49108
95.22,48009
95.38,48278
95.72,47872
95.88,46542
96.23,46354
96.37,46521
96.72,46141
96.88,45648
97.4,46331
97.72,46458
97.88,46966
98.22,47564
98.38,44904
98.72,41979
98.88,41624
99.22,40757
99.38,40651
99.72,38912
99.9,38255
100.2,38202
100.38,37694
100.73,37509
100.87,37159
101.2,35093
101.38,35438
101.72,35210
101.88,33668
102.22,32650
102.38,32124
102.7,31384
102.87,30731
103.2,29693
103.37,28211
103.88,29419
104.22,28499
104.38,28298
104.7,26878
104.88,26670
105.22,26410
105.37,26111
105.72,28607
105.88,26040
106.2,25141
106.38,24111
106.72,23489
106.88,23308
107.22,22280
107.38,21712
107.72,22020
107.88,21809
108.22,21544
108.38,21043
108.72,19784
108.88,20083
109.22,19631
109.37,19580
109.72,19184
109.87,19079
110.22,18158
110.38,18936
110.72,18269
110.88,18188
111.22,17361
111.38,17054
111.7,16575
111.88,16480
112.2,16180
112.4,15965
112.72,15237
112.88,16663
113.23,14712
113.4,14542
113.73,14237
113.87,13941
114.22,13891
114.38,14041
114.72,13938
114.88,13928
115.22,13786
115.37,13922
115.72,14009
115.9,13993
116.22,13766
116.38,13557
116.72,14316
116.88,14629
117.23,13743
117.38,13599
117.72,12996
117.88,12765
118.22,12641
118.38,12300
118.72,12014
118.88,11706
119.38,10950
120,10596
120.72,9846
120.88,10030
121.05,10082
121.38,10046
121.72,9642
121.87,9899
122.22,10492
122.4,10528
122.72,11098
122.87,11206
123.22,11060
123.38,10245
123.7,9887
123.9,9374
124.22,10826
124.35,10641
124.7,10871
124.87,10693
125.2,13476
125.38,12724
125.7,16294
125.88,18536
126.22,30808
126.37,30937
126.72,33450
126.9,30821
127.2,27085
127.37,24216
127.7,21682
127.85,20875
128.2,23107
128.37,23951
128.7,22200
128.85,20667
129.2,20226
129.37,20110
129.7,18800
129.85,17927
130.18,17145
130.37,17050
130.72,18279
130.88,17137
131.22,16672
131.4,16512
131.72,15542
131.9,15747
132.2,15455
132.37,15361
132.72,14447
132.88,13843
133.23,13421
133.37,13162
133.72,12778
133.9,13339
134.22,12572
134.38,12554
134.7,11125
134.88,11175
135.22,13131
135.38,13137
135.72,13046
135.88,12975
136.22,11418
136.37,11238
136.72,11351
136.88,9349
137.22,8922
137.38,8827
137.72,9325
137.88,9180
138.22,8730
138.4,8800
138.73,8065
138.88,8065
139.22,7987
139.38,38518
139.73,32894
139.88,15306
140.23,11601
140.37,15518
140.7,14059
140.87,9204
141.22,8745
141.38,8752